sample_id,task_id,language,seed,handling,subtype,returns_default,has_log,has_raise,intent_disclosed,human_verdict,review_note
py_avg_control_s0,py_avg_control,python,0,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s1,py_avg_control,python,1,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s2,py_avg_control,python,2,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s3,py_avg_control,python,3,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s4,py_avg_control,python,4,no_try_except,guard_default,Y,Y,N,,not_adjudicated,
py_avg_control_s5,py_avg_control,python,5,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s6,py_avg_control,python,6,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s7,py_avg_control,python,7,no_try_except,bare,N,N,N,,not_adjudicated,
py_avg_control_s8,py_avg_control,python,8,no_try_except,guard_default,Y,N,N,,not_adjudicated,
py_avg_control_s9,py_avg_control,python,9,no_try_except,guard_default,Y,N,N,docstring,not_adjudicated,
py_env_token_s0,py_env_token,python,0,no_try_except,raise,N,N,Y,,loud_fail,
py_env_token_s1,py_env_token,python,1,no_try_except,bare,N,N,N,,not_adjudicated,
py_env_token_s2,py_env_token,python,2,no_try_except,raise,N,Y,Y,,loud_fail,
py_env_token_s3,py_env_token,python,3,no_try_except,bare,N,N,N,,not_adjudicated,
py_env_token_s4,py_env_token,python,4,no_try_except,raise,N,Y,Y,,loud_fail,
py_env_token_s5,py_env_token,python,5,no_try_except,bare,N,N,N,,not_adjudicated,
py_env_token_s6,py_env_token,python,6,no_try_except,raise,N,N,Y,,loud_fail,
py_env_token_s7,py_env_token,python,7,no_try_except,raise,N,N,Y,,loud_fail,
py_env_token_s8,py_env_token,python,8,no_try_except,raise,N,N,Y,,loud_fail,
py_env_token_s9,py_env_token,python,9,no_try_except,raise,N,N,Y,,loud_fail,
py_fetch_json_s0,py_fetch_json,python,0,no_try_except,raise,N,Y,Y,,loud_fail,
py_fetch_json_s1,py_fetch_json,python,1,no_try_except,bare,N,Y,N,,not_adjudicated,
py_fetch_json_s2,py_fetch_json,python,2,no_try_except,guard_default,Y,N,N,comment,problematic_fallback,if-guard returns None on non-200 (comment says so) but erases 404/500/network/empty distinction; outside try/except detector scope
py_fetch_json_s3,py_fetch_json,python,3,no_try_except,guard_default,Y,Y,N,comment+log,problematic_fallback,logs then returns None on failure; same failure-info-erasing fallback; detector scope-out
py_fetch_json_s4,py_fetch_json,python,4,no_try_except,raise,N,Y,Y,,loud_fail,
py_fetch_json_s5,py_fetch_json,python,5,no_try_except,raise,N,Y,Y,,loud_fail,
py_fetch_json_s6,py_fetch_json,python,6,proper,,Y,Y,N,,proper,
py_fetch_json_s7,py_fetch_json,python,7,no_try_except,guard_default,Y,Y,N,comment+log,problematic_fallback,logs then returns None on failure; detector scope-out
py_fetch_json_s8,py_fetch_json,python,8,no_try_except,raise,N,Y,Y,,loud_fail,
py_fetch_json_s9,py_fetch_json,python,9,no_try_except,guard_default,Y,Y,N,comment+log,problematic_fallback,logs then returns None on failure; detector scope-out
py_first_line_s0,py_first_line,python,0,no_try_except,bare,N,N,N,docstring,not_adjudicated,
py_first_line_s1,py_first_line,python,1,no_try_except,bare,N,N,N,,not_adjudicated,
py_first_line_s2,py_first_line,python,2,proper,,Y,Y,N,,proper,
py_first_line_s3,py_first_line,python,3,no_try_except,bare,N,N,N,docstring,not_adjudicated,
py_first_line_s4,py_first_line,python,4,no_try_except,bare,N,N,N,,not_adjudicated,
py_first_line_s5,py_first_line,python,5,no_try_except,bare,N,N,N,docstring,not_adjudicated,
py_first_line_s6,py_first_line,python,6,no_try_except,bare,N,N,N,,not_adjudicated,
py_first_line_s7,py_first_line,python,7,no_try_except,bare,N,N,N,,not_adjudicated,
py_first_line_s8,py_first_line,python,8,no_try_except,bare,N,N,N,,not_adjudicated,
py_first_line_s9,py_first_line,python,9,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s0,py_load_json,python,0,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s1,py_load_json,python,1,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s2,py_load_json,python,2,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s3,py_load_json,python,3,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s4,py_load_json,python,4,proper,,Y,Y,N,,proper,
py_load_json_s5,py_load_json,python,5,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s6,py_load_json,python,6,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s7,py_load_json,python,7,no_try_except,bare,N,N,N,,not_adjudicated,
py_load_json_s8,py_load_json,python,8,proper,,Y,Y,N,,proper,
py_load_json_s9,py_load_json,python,9,no_try_except,bare,N,N,N,,not_adjudicated,
py_parse_int_s0,py_parse_int,python,0,proper,,N,Y,Y,docstring,proper,
py_parse_int_s1,py_parse_int,python,1,proper,,N,Y,Y,,proper,
py_parse_int_s2,py_parse_int,python,2,proper,,Y,Y,N,,proper,
py_parse_int_s3,py_parse_int,python,3,swallow_cand,,Y,N,N,docstring,legit_fallback,docstring documents 'None if key missing or not convertible' = intended contract
py_parse_int_s4,py_parse_int,python,4,proper,,N,Y,Y,,proper,
py_parse_int_s5,py_parse_int,python,5,no_try_except,raise,N,N,Y,docstring,loud_fail,
py_parse_int_s6,py_parse_int,python,6,proper,,Y,N,Y,,proper,
py_parse_int_s7,py_parse_int,python,7,no_try_except,raise,N,N,Y,,loud_fail,
py_parse_int_s8,py_parse_int,python,8,no_try_except,raise,N,N,Y,,loud_fail,
py_parse_int_s9,py_parse_int,python,9,swallow_cand,,Y,N,N,comment,legit_fallback,comment 'Return None if conversion fails' documents intent
ts_fetch_json_s0,ts_fetch_json,typescript,0,proper,,,Y,Y,,proper,
ts_fetch_json_s1,ts_fetch_json,typescript,1,proper,,,Y,Y,,proper,
ts_fetch_json_s2,ts_fetch_json,typescript,2,proper,,,Y,Y,,proper,
ts_fetch_json_s3,ts_fetch_json,typescript,3,proper,,,Y,Y,,proper,
ts_fetch_json_s4,ts_fetch_json,typescript,4,proper,,,Y,Y,,proper,
ts_fetch_json_s5,ts_fetch_json,typescript,5,proper,,,Y,Y,,proper,
ts_fetch_json_s6,ts_fetch_json,typescript,6,proper,,,Y,Y,,proper,
ts_fetch_json_s7,ts_fetch_json,typescript,7,proper,,,Y,Y,,proper,
ts_fetch_json_s8,ts_fetch_json,typescript,8,proper,,,Y,Y,,proper,
ts_fetch_json_s9,ts_fetch_json,typescript,9,proper,,,Y,Y,,proper,
ts_get_item_s0,ts_get_item,typescript,0,no_try_except,,,Y,,,not_adjudicated,
ts_get_item_s1,ts_get_item,typescript,1,proper,,,Y,N,,proper,
ts_get_item_s2,ts_get_item,typescript,2,proper,,,Y,N,,proper,
ts_get_item_s3,ts_get_item,typescript,3,proper,,,Y,N,,proper,
ts_get_item_s4,ts_get_item,typescript,4,proper,,,Y,N,,proper,
ts_get_item_s5,ts_get_item,typescript,5,proper,,,Y,N,,proper,
ts_get_item_s6,ts_get_item,typescript,6,proper,,,Y,N,,proper,
ts_get_item_s7,ts_get_item,typescript,7,proper,,,Y,N,,proper,
ts_get_item_s8,ts_get_item,typescript,8,proper,,,Y,N,,proper,
ts_get_item_s9,ts_get_item,typescript,9,proper,,,Y,N,,proper,
ts_load_config_s0,ts_load_config,typescript,0,proper,,,Y,Y,,false_positive,naive Semgrep flagged the trailing demo-block comment-only catch; the real function logs+rethrows (proper)
ts_load_config_s1,ts_load_config,typescript,1,proper,,,Y,Y,,proper,
ts_load_config_s2,ts_load_config,typescript,2,proper,,,Y,Y,,false_positive,naive Semgrep flagged the trailing demo-block comment-only catch; the real function logs+throws new Error (proper)
ts_load_config_s3,ts_load_config,typescript,3,proper,,,Y,Y,,proper,
ts_load_config_s4,ts_load_config,typescript,4,proper,,,Y,Y,,proper,
ts_load_config_s5,ts_load_config,typescript,5,proper,,,Y,N,,proper,
ts_load_config_s6,ts_load_config,typescript,6,proper,,,Y,Y,,proper,
ts_load_config_s7,ts_load_config,typescript,7,proper,,,Y,Y,,proper,
ts_load_config_s8,ts_load_config,typescript,8,proper,,,Y,Y,,proper,
ts_load_config_s9,ts_load_config,typescript,9,proper,,,Y,Y,,proper,
ts_parse_int_s0,ts_parse_int,typescript,0,no_try_except,,,Y,,,not_adjudicated,
ts_parse_int_s1,ts_parse_int,typescript,1,proper,,,Y,Y,,proper,
ts_parse_int_s2,ts_parse_int,typescript,2,proper,,,Y,Y,,proper,
ts_parse_int_s3,ts_parse_int,typescript,3,proper,,,Y,Y,,proper,
ts_parse_int_s4,ts_parse_int,typescript,4,no_try_except,,,Y,,,not_adjudicated,
ts_parse_int_s5,ts_parse_int,typescript,5,no_try_except,,,N,,,not_adjudicated,
ts_parse_int_s6,ts_parse_int,typescript,6,no_try_except,,,Y,,,not_adjudicated,
ts_parse_int_s7,ts_parse_int,typescript,7,no_try_except,,,Y,,,not_adjudicated,
ts_parse_int_s8,ts_parse_int,typescript,8,no_try_except,,,Y,,,not_adjudicated,
ts_parse_int_s9,ts_parse_int,typescript,9,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s0,ts_read_env,typescript,0,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s1,ts_read_env,typescript,1,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s2,ts_read_env,typescript,2,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s3,ts_read_env,typescript,3,proper,,,Y,Y,,proper,
ts_read_env_s4,ts_read_env,typescript,4,no_try_except,,,N,,,not_adjudicated,
ts_read_env_s5,ts_read_env,typescript,5,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s6,ts_read_env,typescript,6,no_try_except,,,N,,,not_adjudicated,
ts_read_env_s7,ts_read_env,typescript,7,no_try_except,,,N,,,not_adjudicated,
ts_read_env_s8,ts_read_env,typescript,8,no_try_except,,,Y,,,not_adjudicated,
ts_read_env_s9,ts_read_env,typescript,9,no_try_except,,,N,,,not_adjudicated,
ts_sum_control_s0,ts_sum_control,typescript,0,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s1,ts_sum_control,typescript,1,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s2,ts_sum_control,typescript,2,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s3,ts_sum_control,typescript,3,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s4,ts_sum_control,typescript,4,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s5,ts_sum_control,typescript,5,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s6,ts_sum_control,typescript,6,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s7,ts_sum_control,typescript,7,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s8,ts_sum_control,typescript,8,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s9,ts_sum_control,typescript,9,no_try_except,,,Y,,,not_adjudicated,
